original_name,canonical_name,num_similar
0711 HAUSVERWALTUNG GMBH,0711 HAUSVERWALTUNG GMBH,1
126 - WEG GARTENSTADT VERTR. D. MÜLLER IMMOBILIEN MANAGEMENT GMBH,126 - WEG GARTENSTADT VERTR. D. MÜLLER IMMOBILIEN MANAGEMENT GMBH,1
1A SERVICE VERTRIEBS- UND MONTAGE GMBH,1A SERVICE VERTRIEBS- UND MONTAGE GMBH,1
"350 GDWE COLLENBACHSTR. 32-40, 40476 DÜSSELDORF","350 GDWE COLLENBACHSTR. 32-40, 40476 DÜSSELDORF",1
3KOMMA1 IMMOBILIENSERVICES GMBH & CO. KG,3KOMMA1 IMMOBILIENSERVICES GMBH & CO. KG,1
A. + E. BAUR GMBH,A. + E. BAUR GMBH,1
A. BRICKWEDDE GMBH & CO. KG,A. BRICKWEDDE GMBH & CO. KG,1
A. GARTENLEITNER INSTALLATIONSBETRIEB,A. GARTENLEITNER INSTALLATIONSBETRIEB,1
A. KRONSEDER HAUSTECHNIK GMBH,A. KRONSEDER HAUSTECHNIK GMBH,1
A. STOLTENBERG TIEFBAU GMBH,A. STOLTENBERG TIEFBAU GMBH,1
ABEL GMBH,ABEL GMBH,1
ABP INDUCTION SYSTEM GMBH,ABP INDUCTION SYSTEM GMBH,1
ABRO-SERVICE GMBH,ABRO-SERVICE GMBH,1
AC DITTER GMBH,AC DITTER GMBH,1
ACKERMANN HAUSTECHNIK GMBH,ACKERMANN HAUSTECHNIK GMBH,1
ACKERMANN IMMOBILIEN,ACKERMANN IMMOBILIEN,1
ACRENOVO VISION I GMBH & CO.KG,ACRENOVO VISION I GMBH & CO.KG,1
ADAM HAUSTECHNIK GMBH,ADAM HAUSTECHNIK GMBH,1
ADELBERGER HEIZUNG- U. SANITÄRTECHNIK GMBH,ADELBERGER HEIZUNG- U. SANITÄRTECHNIK GMBH,1
ADERHOLD & SOHN GMBH & CO. KG,ADERHOLD & SOHN GMBH & CO. KG,1
ADLER HAUSTECHNIK,ADLER HAUSTECHNIK,1
ADOLF LUPP GMBH & CO. KG,ADOLF LUPP GMBH & CO. KG,1
ADOLF PHILIPP GMBH,ADOLF PHILIPP GMBH,1
AFB SANITÄR- UND DACHTECHNIK GMBH,AFB SANITÄR- UND DACHTECHNIK GMBH,1
AG-HAUSTECHNIK,AG-HAUSTECHNIK,1
AGAPLESION BETHESDA KLINIK ULM GGMBH,AGAPLESION BETHESDA KLINIK ULM GGMBH,1
AGENS ENERGIE GMBH,AGENS ENERGIE GMBH,1
